          time          mass          xmom          ymom          zmom     ang mom x     ang mom y     ang mom z         rho_K         rho_e         rho_E
             0   1.97547e+33   7.35918e+41             0             0             0             0             0   1.47469e+50   2.46375e+43   1.47469e+50
         0.001   1.97547e+33   7.35918e+41             0             0             0             0             0   1.47469e+50   2.86147e+43   1.47469e+50
        0.0021   1.97547e+33   7.35918e+41             0             0             0             0             0   1.47469e+50    3.2769e+43   1.47469e+50
       0.00331   1.97547e+33   7.35918e+41             0             0             0             0             0   1.47469e+50   3.64315e+43   1.47469e+50
      0.004641   1.97547e+33   7.35918e+41             0             0             0             0             0   1.47469e+50   3.89539e+43   1.47469e+50
     0.0061051   1.97547e+33   7.35918e+41             0             0             0             0             0   1.47469e+50    4.0349e+43   1.47469e+50
    0.00771561   1.97547e+33   7.35918e+41             0             0             0             0             0   1.47469e+50   4.10109e+43   1.47469e+50
    0.00948717   1.97547e+33   7.35918e+41             0             0             0             0             0   1.47469e+50   4.12943e+43   1.47469e+50
     0.0114359   1.97547e+33   7.35918e+41             0             0             0             0             0   1.47469e+50   4.14075e+43   1.47469e+50
     0.0135795   1.97547e+33   7.35918e+41             0             0             0             0             0   1.47469e+50   4.14513e+43   1.47469e+50
     0.0159374   1.97547e+33   7.35918e+41             0             0             0             0             0   1.47469e+50    4.1469e+43   1.47469e+50
     0.0185312   1.97547e+33   7.35918e+41             0             0             0             0             0   1.47469e+50   4.14776e+43   1.47469e+50
     0.0213843   1.97547e+33   7.35918e+41             0             0             0             0             0   1.47469e+50   4.14836e+43   1.47469e+50
     0.0245227   1.97547e+33   7.35918e+41             0             0             0             0             0   1.47469e+50   4.14891e+43   1.47469e+50
      0.027975   1.97547e+33   7.35918e+41             0             0             0             0             0   1.47469e+50   4.14949e+43   1.47469e+50
     0.0317725   1.97547e+33   7.35918e+41             0             0             0             0             0   1.47469e+50   4.15011e+43   1.47469e+50
     0.0359497   1.97547e+33   7.35918e+41             0             0             0             0             0   1.47469e+50   4.15079e+43   1.47469e+50
     0.0405447   1.97547e+33   7.35918e+41             0             0             0             0             0   1.47469e+50   4.15154e+43   1.47469e+50
     0.0455992   1.97547e+33   7.35918e+41             0             0             0             0             0   1.47469e+50   4.15236e+43   1.47469e+50
     0.0511591   1.97547e+33   7.35918e+41             0             0             0             0             0   1.47469e+50   4.15326e+43   1.47469e+50
      0.057275   1.97547e+33   7.35918e+41             0             0             0             0             0   1.47469e+50   4.15425e+43   1.47469e+50
     0.0640025   1.97547e+33   7.35918e+41             0             0             0             0             0   1.47469e+50   4.15534e+43   1.47469e+50
     0.0714027   1.97547e+33   7.35918e+41             0             0             0             0             0   1.47469e+50   4.15653e+43   1.47469e+50
      0.079543   1.97547e+33   7.35918e+41             0             0             0             0             0   1.47469e+50   4.15784e+43   1.47469e+50
     0.0884973   1.97547e+33   7.35918e+41             0             0             0             0             0   1.47468e+50   4.15928e+43   1.47468e+50
     0.0983471   1.97547e+33   7.35918e+41             0             0             0             0             0   1.47468e+50   4.16085e+43   1.47468e+50
      0.109182   1.97547e+33   7.35918e+41             0             0             0             0             0   1.47468e+50   4.16258e+43   1.47468e+50
        0.1211   1.97547e+33   7.35918e+41             0             0             0             0             0   1.47468e+50   4.16448e+43   1.47468e+50
       0.13421   1.97547e+33   7.35918e+41             0             0             0             0             0   1.47468e+50   4.16655e+43   1.47468e+50
      0.148631   1.97547e+33   7.35918e+41             0             0             0             0             0   1.47468e+50   4.16882e+43   1.47468e+50
      0.164494   1.97547e+33   7.35918e+41             0             0             0             0             0   1.47468e+50   4.17131e+43   1.47468e+50
      0.181943   1.97547e+33   7.35918e+41             0             0             0             0             0   1.47468e+50   4.17404e+43   1.47468e+50
      0.201138   1.97547e+33   7.35918e+41             0             0             0             0             0   1.47468e+50   4.17702e+43   1.47468e+50
      0.222252   1.97547e+33   7.35918e+41             0             0             0             0             0   1.47468e+50   4.18029e+43   1.47468e+50
      0.245477   1.97547e+33   7.35918e+41             0             0             0             0             0   1.47468e+50   4.18385e+43   1.47468e+50
      0.271024   1.97547e+33   7.35918e+41             0             0             0             0             0   1.47468e+50   4.18775e+43   1.47468e+50
      0.299127   1.97547e+33   7.35918e+41             0             0             0             0             0   1.47468e+50   4.19201e+43   1.47468e+50
      0.330039   1.97547e+33   7.35918e+41             0             0             0             0             0   1.47468e+50   4.19667e+43   1.47468e+50
      0.364043   1.97547e+33   7.35918e+41             0             0             0             0             0   1.47468e+50   4.20175e+43   1.47468e+50
      0.401448   1.97547e+33   7.35918e+41             0             0             0             0             0   1.47467e+50   4.20729e+43   1.47467e+50
      0.442593   1.97547e+33   7.35918e+41             0             0             0             0             0   1.47467e+50   4.21334e+43   1.47467e+50
      0.487852   1.97547e+33   7.35918e+41             0             0             0             0             0   1.47467e+50   4.21994e+43   1.47467e+50
      0.537637   1.97547e+33   7.35918e+41             0             0             0             0             0   1.47467e+50   4.22713e+43   1.47467e+50
      0.592401   1.97547e+33   7.35918e+41             0             0             0             0             0   1.47467e+50   4.23498e+43   1.47467e+50
      0.652641   1.97547e+33   7.35918e+41             0             0             0             0             0   1.47467e+50   4.24355e+43   1.47467e+50
      0.718905   1.97547e+33   7.35918e+41             0             0             0             0             0   1.47467e+50   4.25292e+43   1.47467e+50
      0.791795   1.97547e+33   7.35918e+41             0             0             0             0             0   1.47466e+50   4.26318e+43   1.47466e+50
      0.871975   1.97547e+33   7.35918e+41             0             0             0             0             0   1.47466e+50   4.27445e+43   1.47466e+50
      0.960172   1.97547e+33   7.35918e+41             0             0             0             0             0   1.47466e+50   4.28685e+43   1.47466e+50
       1.05719   1.97547e+33   7.35918e+41             0             0             0             0             0   1.47466e+50   4.30057e+43   1.47466e+50
       1.16391   1.97547e+33   7.35918e+41             0             0             0             0             0   1.47466e+50    4.3158e+43   1.47466e+50
        1.2813   1.97547e+33   7.35918e+41             0             0             0             0             0   1.47465e+50   4.33282e+43   1.47465e+50
       1.41043   1.97547e+33   7.35918e+41             0             0             0             0             0   1.47465e+50   4.35198e+43   1.47465e+50
       1.55247   1.97547e+33   7.35918e+41             0             0             0             0             0   1.47465e+50   4.37372e+43   1.47465e+50
       1.70872   1.97547e+33   7.35918e+41             0             0             0             0             0   1.47465e+50    4.3986e+43   1.47465e+50
       1.88059   1.97547e+33   7.35918e+41             0             0             0             0             0   1.47465e+50   4.42737e+43   1.47465e+50
       2.06965   1.97547e+33   7.35918e+41             0             0             0             0             0   1.47464e+50   4.46095e+43   1.47464e+50
       2.27762   1.97547e+33   7.35918e+41             0             0             0             0             0   1.47464e+50   4.50045e+43   1.47464e+50
       2.50638   1.97547e+33   7.35918e+41             0             0             0             0             0   1.47464e+50   4.54703e+43   1.47464e+50
       2.75801   1.97547e+33   7.35918e+41             0             0             0             0             0   1.47464e+50   4.60132e+43   1.47464e+50
       3.03482   1.97547e+33   7.35918e+41             0             0             0             0             0   1.47463e+50   4.66225e+43   1.47463e+50
        3.3393   1.97547e+33   7.35918e+41             0             0             0             0             0   1.47463e+50   4.72594e+43   1.47463e+50
       3.67423   1.97547e+33   7.35918e+41             0             0             0             0             0   1.47463e+50   4.78736e+43   1.47463e+50
       4.04265   1.97547e+33   7.35918e+41             0             0             0             0             0   1.47463e+50   4.84395e+43   1.47463e+50
       4.44792   1.97547e+33   7.35918e+41             0             0             0             0             0   1.47462e+50   4.89656e+43   1.47462e+50
       4.89371   1.97547e+33   7.35918e+41             0             0             0             0             0   1.47462e+50   4.94751e+43   1.47462e+50
       5.38408   1.97547e+33   7.35918e+41             0             0             0             0             0   1.47462e+50   4.99881e+43   1.47462e+50
       5.92349   1.97547e+33   7.35918e+41             0             0             0             0             0   1.47462e+50   5.05175e+43   1.47462e+50
       6.51683   1.97547e+33   7.35918e+41             0             0             0             0             0   1.47462e+50   5.10704e+43   1.47462e+50
       7.16952   1.97547e+33   7.35918e+41             0             0             0             0             0   1.47461e+50   5.16516e+43   1.47461e+50
       7.88747   1.97547e+33   7.35918e+41             0             0             0             0             0   1.47461e+50   5.22648e+43   1.47461e+50
       8.67722   1.97547e+33   7.35918e+41             0             0             0             0             0   1.47461e+50   5.29141e+43   1.47461e+50
       9.54594   1.97547e+33   7.35918e+41             0             0             0             0             0   1.47461e+50    5.3604e+43   1.47461e+50
       10.5015   1.97547e+33   7.35918e+41             0             0             0             0             0   1.47461e+50   5.43398e+43   1.47461e+50
       11.5527   1.97547e+33   7.35918e+41             0             0             0             0             0    1.4746e+50   5.51279e+43    1.4746e+50
        12.709   1.97547e+33   7.35918e+41             0             0             0             0             0    1.4746e+50   5.59755e+43    1.4746e+50
       13.9808   1.97547e+33   7.35918e+41             0             0             0             0             0    1.4746e+50   5.68913e+43    1.4746e+50
       15.3799   1.97547e+33   7.35918e+41             0             0             0             0             0    1.4746e+50   5.78852e+43    1.4746e+50
       16.9189   1.97547e+33   7.35918e+41             0             0             0             0             0    1.4746e+50   5.89692e+43    1.4746e+50
       18.6118   1.97547e+33   7.35918e+41             0             0             0             0             0    1.4746e+50   6.01568e+43    1.4746e+50
        20.474   1.97547e+33   7.35918e+41             0             0             0             0             0   1.47459e+50   6.14638e+43    1.4746e+50
       22.5224   1.97547e+33   7.35918e+41             0             0             0             0             0   1.47459e+50   6.29086e+43   1.47459e+50
       24.7756   1.97547e+33   7.35918e+41             0             0             0             0             0   1.47459e+50   6.45118e+43   1.47459e+50
       27.2542   1.97547e+33   7.35918e+41             0             0             0             0             0   1.47459e+50   6.62976e+43   1.47459e+50
       29.9806   1.97547e+33   7.35918e+41             0             0             0             0             0   1.47459e+50   6.82932e+43   1.47459e+50
       32.9797   1.97547e+33   7.35918e+41             0             0             0             0             0   1.47459e+50   7.05302e+43   1.47459e+50
       36.2787   1.97547e+33   7.35918e+41             0             0             0             0             0   1.47458e+50   7.30452e+43   1.47458e+50
       39.9075   1.97547e+33   7.35918e+41             0             0             0             0             0   1.47458e+50   7.58808e+43   1.47458e+50
       43.8993   1.97547e+33   7.35918e+41             0             0             0             0             0   1.47458e+50   7.90886e+43   1.47458e+50
       48.2902   1.97547e+33   7.35918e+41             0             0             0             0             0   1.47458e+50   8.27324e+43   1.47458e+50
       53.1202   1.97547e+33   7.35918e+41             0             0             0             0             0   1.47457e+50   8.68927e+43   1.47457e+50
       58.4332   1.97547e+33   7.35918e+41             0             0             0             0             0   1.47457e+50   9.16556e+43   1.47457e+50
       64.2776   1.97547e+33   7.35918e+41             0             0             0             0             0   1.47456e+50    9.7048e+43   1.47456e+50
       70.7063   1.97547e+33   7.35918e+41             0             0             0             0             0   1.47456e+50   1.03044e+44   1.47456e+50
        77.778   1.97547e+33   7.35918e+41             0             0             0             0             0   1.47456e+50     1.097e+44   1.47456e+50
       85.5568   1.97547e+33   7.35918e+41             0             0             0             0             0   1.47455e+50   1.17136e+44   1.47455e+50
       94.1134   1.97547e+33   7.35918e+41             0             0             0             0             0   1.47455e+50   1.25469e+44   1.47455e+50
       103.526   1.97547e+33   7.35918e+41             0             0             0             0             0   1.47454e+50   1.34789e+44   1.47454e+50
       113.879   1.97547e+33   7.35918e+41             0             0             0             0             0   1.47454e+50   1.45177e+44   1.47454e+50
       125.268   1.97547e+33   7.35918e+41             0             0             0             0             0   1.47453e+50   1.56707e+44   1.47453e+50
       137.796   1.97547e+33   7.35918e+41             0             0             0             0             0   1.47453e+50    1.6945e+44   1.47453e+50
       151.577   1.97547e+33   7.35918e+41             0             0             0             0             0   1.47452e+50   1.83462e+44   1.47452e+50
       166.735   1.97547e+33   7.35918e+41             0             0             0             0             0   1.47451e+50   1.98783e+44   1.47452e+50
        183.41   1.97547e+33   7.35918e+41             0             0             0             0             0   1.47451e+50   2.08414e+44   1.47451e+50
       201.752   1.97547e+33   7.35918e+41             0             0             0             0             0    1.4745e+50   2.22627e+44   1.47451e+50
       221.928   1.97547e+33   7.35918e+41             0             0             0             0             0    1.4745e+50   2.59387e+44    1.4745e+50
       244.122   1.97547e+33   7.35918e+41             0             0             0             0             0   1.47449e+50   2.70441e+44    1.4745e+50
       268.535   1.97547e+33   7.35918e+41             0             0             0             0             0   1.47449e+50    2.8646e+44   1.47449e+50
        295.39   1.97547e+33   7.35918e+41             0             0             0             0             0   1.47448e+50   3.04732e+44   1.47448e+50
        324.93   1.97547e+33   7.35918e+41             0             0             0             0             0   1.47447e+50    3.2389e+44   1.47448e+50
       357.424   1.97547e+33   7.35918e+41             0             0             0             0             0   1.47447e+50   3.41612e+44   1.47447e+50
       393.167   1.97547e+33   7.35918e+41             0             0             0             0             0   1.47446e+50   3.60756e+44   1.47447e+50
       432.485   1.97547e+33   7.35917e+41             0             0             0             0             0   1.47446e+50   3.77165e+44   1.47446e+50
       475.734   1.97547e+33   7.35917e+41             0             0             0             0             0   1.47445e+50   3.95389e+44   1.47446e+50
       523.309   1.97547e+33   7.35917e+41             0             0             0             0             0   1.47445e+50   4.10111e+44   1.47445e+50
        575.64   1.97547e+33   7.35917e+41             0             0             0             0             0   1.47445e+50   4.25869e+44   1.47445e+50
       633.205   1.97547e+33   7.35917e+41             0             0             0             0             0   1.47444e+50    4.4147e+44   1.47444e+50
       696.527   1.97547e+33   7.35917e+41             0             0             0             0             0   1.47443e+50   4.57224e+44   1.47444e+50
       766.181   1.97547e+33   7.35917e+41             0             0             0             0             0   1.47443e+50   4.73217e+44   1.47443e+50
         842.8   1.97547e+33   7.35917e+41             0             0             0             0             0   1.47442e+50   4.91347e+44   1.47442e+50
       927.081   1.97547e+33   7.35917e+41             0             0             0             0             0    1.4744e+50   5.15652e+44   1.47441e+50
       1019.79   1.97547e+33   7.35917e+41             0             0             0             0             0   1.47438e+50   5.28098e+44   1.47439e+50
       1121.77   1.97547e+33   7.35917e+41             0             0             0             0             0   1.47437e+50   5.41192e+44   1.47437e+50
       1233.95   1.97547e+33   7.35917e+41             0             0             0             0             0   1.47435e+50   5.62507e+44   1.47436e+50
       1357.34   1.97547e+33   7.35917e+41             0             0             0             0             0   1.47434e+50    5.8609e+44   1.47435e+50
       1493.08   1.97547e+33   7.35917e+41             0             0             0             0             0   1.47433e+50   6.07596e+44   1.47434e+50
       1642.39   1.97547e+33   7.35917e+41             0             0             0             0             0   1.47433e+50   6.29053e+44   1.47434e+50
       1806.63   1.97547e+33   7.35917e+41             0             0             0             0             0   1.47433e+50   6.53246e+44   1.47433e+50
       1987.29   1.97547e+33   7.35917e+41             0             0             0             0             0   1.47432e+50   6.85325e+44   1.47433e+50
       2186.02   1.97547e+33   7.35917e+41             0             0             0             0             0   1.47431e+50   7.02009e+44   1.47432e+50
       2404.62   1.97547e+33   7.35917e+41             0             0             0             0             0    1.4743e+50   7.29946e+44   1.47431e+50
       2645.09   1.97547e+33   7.35917e+41             0             0             0             0             0   1.47429e+50   7.46415e+44    1.4743e+50
        2909.6   1.97547e+33   7.35917e+41             0             0             0             0             0   1.47428e+50    7.6971e+44   1.47429e+50
       3200.56   1.97547e+33   7.35917e+41             0             0             0             0             0   1.47424e+50   8.04806e+44   1.47425e+50
       3520.62   1.97547e+33   7.35917e+41             0             0             0             0             0   1.47421e+50   8.39673e+44   1.47421e+50
       3872.68   1.97547e+33   7.35917e+41             0             0             0             0             0   1.47417e+50   8.75474e+44   1.47418e+50
       4259.95   1.97547e+33   7.35917e+41             0             0             0             0             0   1.47414e+50   9.02035e+44   1.47415e+50
       4685.94   1.97547e+33   7.35917e+41             0             0             0             0             0   1.47411e+50   9.29121e+44   1.47412e+50
       5154.54   1.97547e+33   7.35917e+41             0             0             0             0             0   1.47408e+50   9.60468e+44   1.47409e+50
       5669.99   1.97547e+33   7.35917e+41             0             0             0             0             0   1.47406e+50   9.93809e+44   1.47407e+50
       6236.99   1.97547e+33   7.35917e+41             0             0             0             0             0   1.47405e+50   1.02032e+45   1.47406e+50
       6860.69   1.97547e+33   7.35917e+41             0             0             0             0             0   1.47404e+50   1.04577e+45   1.47405e+50
       7546.76   1.97547e+33   7.35917e+41             0             0             0             0             0   1.47403e+50   1.07664e+45   1.47404e+50
       8301.44   1.97547e+33   7.35918e+41             0             0             0             0             0   1.47401e+50   1.10766e+45   1.47402e+50
       9131.59   1.97547e+33   7.35918e+41             0             0             0             0             0   1.47398e+50   1.13325e+45   1.47399e+50
       10044.7   1.97547e+33   7.35918e+41             0             0             0             0             0    1.4739e+50   1.20221e+45   1.47391e+50
       11021.1   1.97547e+33   7.35918e+41             0             0             0             0             0   1.47383e+50   1.23298e+45   1.47384e+50
       11997.3   1.97547e+33   7.35918e+41             0             0             0             0             0   1.47376e+50   1.28551e+45   1.47377e+50
       12973.8   1.97547e+33   7.35918e+41             0             0             0             0             0   1.47369e+50   1.30879e+45   1.47371e+50
       13950.2   1.97547e+33   7.35918e+41             0             0             0             0             0   1.47364e+50   1.34653e+45   1.47365e+50
       14927.4   1.97547e+33   7.35918e+41             0             0             0             0             0   1.47359e+50   1.37004e+45    1.4736e+50
       15904.4   1.97547e+33   7.35918e+41             0             0             0             0             0   1.47354e+50    1.4054e+45   1.47355e+50
         16882   1.97547e+33   7.35918e+41             0             0             0             0             0   1.47352e+50    1.4095e+45   1.47353e+50
       17859.8   1.97547e+33   7.35919e+41             0             0             0             0             0    1.4735e+50   1.44158e+45   1.47351e+50
         18838   1.97547e+33   7.35919e+41             0             0             0             0             0   1.47347e+50   1.46453e+45   1.47348e+50
       19816.7   1.97547e+33   7.35919e+41             0             0             0             0             0   1.47343e+50   1.48466e+45   1.47344e+50
       20795.4   1.97547e+33   7.35919e+41             0             0             0             0             0   1.47334e+50   1.53294e+45   1.47335e+50
       21774.1   1.97547e+33   7.35919e+41             0             0             0             0             0   1.47325e+50   1.57945e+45   1.47326e+50
       22752.4   1.97547e+33   7.35919e+41             0             0             0             0             0   1.47318e+50   1.60684e+45   1.47319e+50
       23731.1   1.97547e+33   7.35919e+41             0             0             0             0             0    1.4731e+50   1.63978e+45   1.47312e+50
